rank,Metabolite,Organism,PubChem_ID,Molecular_formula,Mw,smiles_canonical_flat,smiles_isomeric,prob_mean_EState,prob_mean_PubChem,prob_mean_Klekota-Roth,prob_mean_across_fingerprints,n_fingerprints_active,consensus_label,tanimoto_EState,tanimoto_PubChem,tanimoto_Klekota-Roth,in_AD_EState,in_AD_PubChem,in_AD_Klekota-Roth,in_AD_all_fingerprints,identity_ambiguous,Metabolite_all,PubChem_ID_all,Organism_all,pubchem_status,nama_pubchem
11,Emblicanin A,Phyllanthus niruri,119058016,C34H22O22,782.06027239,O=C1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c(O)c2)=C1OC(=O)c1cc(O)c(O)c(O)c1,C1[C@@H]2[C@H](C(=C(C(=O)O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O1)O)O)O)O)O)O,0.98764884,0.99297976,0.9965503,0.992393,3,Active (3/3),1.0,0.8974359,0.5584416,1,1,1,True,False,Emblicanin A,119058016,Phyllanthus niruri,cocok,Emblicanin A
12,Clinopodic acid A,Melissa officinalis,25244691,C18H16O7,344.08960287,O=C(C=Cc1ccc(O)cc1)OC(Cc1ccc(O)c(O)c1)C(=O)O,C1=CC(=CC=C1/C=C/C(=O)O[C@H](CC2=CC(=C(C=C2)O)O)C(=O)O)O,0.9946053,0.9866642,0.9948935,0.9920543,3,Active (3/3),0.9,0.7852349,0.43678162,1,1,1,True,False,Clinopodic acid A,25244691,Melissa officinalis,cocok,Clinopodic Acid A
13,Pedunculagin,Phyllanthus niruri,442688,C34H24O22,784.07592246,O=C1OCC2OC(O)C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC3C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O,C1[C@@H]2[C@H]([C@H]3[C@H](C(O2)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O3)O)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O,0.98764884,0.9907683,0.99628985,0.99156904,3,Active (3/3),1.0,0.8509317,0.54545456,1,1,1,True,False,Pedunculagin,442688,Phyllanthus niruri,cocok,Pedunculagin
14,Nirurin,Phyllanthus niruri,102405297,C32H40O15,664.23672061,CC(C)=CCc1c(O)c(O)c(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)c2c1OC(c1ccc(O)cc1)CC2=O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C(=C(C4=C3C(=O)CC(O4)C5=CC=C(C=C5)O)CC=C(C)C)O)O)O)O)O)O)O)O,0.99597496,0.9844141,0.9939077,0.99143225,3,Active (3/3),0.90909094,0.8433735,0.5113636,1,1,1,True,False,Nirurin,102405297,Phyllanthus niruri,cocok,Nirurin
15,Suspensaside,Forsythia suspensa,5281798,C29H36O16,640.20033511,CC1OC(OCC2OC(OCC(O)c3ccc(O)c(O)c3)C(O)C(O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCC(C3=CC(=C(C=C3)O)O)O)O)O)OC(=O)/C=C/C4=CC(=C(C=C4)O)O)O)O)O,0.99597496,0.98891884,0.98730487,0.9907329,3,Active (3/3),0.90909094,0.75524473,0.45,1,1,1,True,False,Suspensaside,5281798,Forsythia suspensa,cocok,Suspensaside
16,Vanillic acid,Zingiber officinale,8468,C8H8O4,168.04225874,COc1cc(C(=O)O)ccc1O,COC1=C(C=CC(=C1)C(=O)O)O,0.99509877,0.98214424,0.994469,0.9905707,3,Active (3/3),1.0,0.8515625,0.59375,1,1,1,True,False,Vanillic acid,8468,Zingiber officinale,cocok,Vanillic Acid
17,(+)-Sagerinic acid,Melissa officinalis,23760102,C36H32O16,720.16903498,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)C1C(C(=O)OC(Cc2ccc(O)c(O)c2)C(=O)O)C(c2ccc(O)c(O)c2)C1c1ccc(O)c(O)c1,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C2C(C(C2C(=O)OC(CC3=CC(=C(C=C3)O)O)C(=O)O)C4=CC(=C(C=C4)O)O)C5=CC(=C(C=C5)O)O)O)O,0.98764884,0.9889437,0.9950546,0.9905491,3,Active (3/3),1.0,0.75949365,0.38666666,1,1,1,True,False,(+)-Sagerinic acid,23760102,Melissa officinalis,cocok,Sagerinic acid
18,Gallic acid,Phyllanthus niruri,370,C7H6O5,170.0215233,O=C(O)c1cc(O)c(O)c(O)c1,C1=C(C=C(C(=C1O)O)O)C(=O)O,0.9831631,0.9873413,0.9960959,0.9888668,3,Active (3/3),1.0,1.0,1.0,1,1,1,True,False,Gallic acid,370,Phyllanthus niruri,cocok,Gallic Acid
19,Eriodictin,Phyllanthus niruri,101789466,C21H22O10,434.12129692,CC1OC(Oc2cc(O)c3c(c2)OC(c2ccc(O)c(O)c2)CC3=O)C(O)C(O)C1O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=O)C[C@H](OC3=C2)C4=CC(=C(C=C4)O)O)O)O)O)O,0.99372405,0.9818227,0.9878363,0.9877944,3,Active (3/3),1.0,0.87974685,0.53846157,1,1,1,True,False,Eriodictin,101789466,Phyllanthus niruri,cocok,Eriodictin
20,Forsythiaside,Forsythia suspensa,5281773,C29H36O15,624.20542048,CC1OC(OCC2OC(OCCc3ccc(O)c(O)c3)C(O)C(O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC(=C(C=C3)O)O)O)O)OC(=O)/C=C/C4=CC(=C(C=C4)O)O)O)O)O,0.99597496,0.9886004,0.978272,0.98761576,3,Active (3/3),0.90909094,0.7605634,0.4556962,1,1,1,True,False,Forsythiaside,5281773,Forsythia suspensa,cocok,Forsythoside A
21,Niruriside,Phyllanthus niruri,70697928,C38H42O17,770.24219992,CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(=O)C=Cc3ccccc3)C(O)C2OC(=O)C=Cc2ccccc2)C(OC(C)=O)C(O)C1OC(C)=O,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COC(=O)/C=C/C3=CC=CC=C3)O)OC(=O)/C=C/C4=CC=CC=C4)COC(=O)C)OC(=O)C)O)OC(=O)C,0.9811386,0.9855338,0.99458283,0.98708504,3,Active (3/3),0.90909094,0.61290324,0.47826087,1,1,1,True,False,Niruriside,70697928,Phyllanthus niruri,cocok,Niruriside
22,Andrographidin A,Andrographis paniculata,13963762,C23H26O10,462.15259705,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1OC)OC(c1ccccc1)CC2=O,COC1=C(C2=C(C(=O)C[C@H](O2)C3=CC=CC=C3)C(=C1)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC,0.99372405,0.9747973,0.9923654,0.98696226,3,Active (3/3),1.0,0.8509317,0.47674417,1,1,1,True,False,Andrographidin A,13963762,Andrographis paniculata,cocok,Andrographidin A
23,Gingerglycolipid C,Zingiber officinale,10259020,C33H60O14,680.39830663,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,0.996528,0.98959297,0.96813977,0.9847536,3,Active (3/3),0.8888889,0.6574074,0.52348995,1,1,1,True,False,Gingerglycolipid C,10259020,Zingiber officinale,cocok,Gingerglycolipid C
24,Gingerglycolipid B,Zingiber officinale,10009754,C33H58O14,678.38265656,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,0.996528,0.98959297,0.96777475,0.98463196,3,Active (3/3),0.8888889,0.6574074,0.5202703,1,1,1,True,False,Gingerglycolipid B,10009754,Zingiber officinale,cocok,Gingerglycolipid B
25,(+)-Dihydrokaempferol,Zingiber officinale,122850,C15H12O6,288.06338812,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0.9945056,0.9701385,0.9886163,0.9844201,3,Active (3/3),0.875,0.9347826,0.71428573,1,1,1,True,False,(+)-Dihydrokaempferol,122850,Zingiber officinale,cocok,Dihydrokaempferol
26,Gingerglycolipid A,Zingiber officinale,10349562,C33H56O14,676.3670065,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,0.996528,0.98959297,0.96646434,0.9841952,3,Active (3/3),0.8888889,0.6574074,0.5,1,1,1,True,False,Gingerglycolipid A,10349562,Zingiber officinale,cocok,Gingerglycolipid A
27,Luteolin 3'-O-beta-D-glucuronide,Melissa officinalis,10253785,C21H18O12,462.07982604,O=C(O)C1OC(Oc2cc(-c3cc(=O)c4c(O)cc(O)cc4o3)ccc2O)C(O)C(O)C1O,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O,0.9606841,0.9907661,0.99729735,0.9829159,3,Active (3/3),0.8,0.89634144,0.5625,1,1,1,True,False,Luteolin 3'-O-beta-D-glucuronide,10253785,Melissa officinalis,cocok,luteolin 3'-O-glucuronide
28,Nepetoidin A,Melissa officinalis,5316820,C17H14O6,314.07903818,O=C(C=Cc1ccc(O)c(O)c1)OC=Cc1cc(O)cc(O)c1,C1=CC(=C(C=C1/C=C/C(=O)O/C=C\C2=CC(=CC(=C2)O)O)O)O,0.99671614,0.97874326,0.9704669,0.9819755,3,Active (3/3),0.75,0.8015873,0.29577464,1,1,0,False,False,Nepetoidin A,5316820,Melissa officinalis,cocok,Nepetoidin A
29,p-Coumaric acid,Melissa officinalis,637542,C9H8O3,164.04734412,O=C(O)C=Cc1ccc(O)cc1,C1=CC(=CC=C1/C=C/C(=O)O)O,0.9909208,0.9664805,0.9884609,0.9819541,3,Active (3/3),0.8333333,0.85858583,0.4642857,1,1,1,True,False,p-Coumaric acid,637542,Melissa officinalis,cocok,P-Coumaric Acid
30,3-Caffeoylquinic acid,Andrographis paniculata,1794427,C16H18O9,354.09508217,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,0.95972973,0.9907102,0.99524343,0.9818945,3,Active (3/3),0.8181818,0.80794704,0.5041322,1,1,1,True,False,3-Caffeoylquinic acid,1794427,Andrographis paniculata | Zingiber officinale,cocok,Chlorogenic Acid
31,[4]-Gingerdiacetate,Zingiber officinale,5318274,C19H28O6,352.18858863,CCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,CCCC(CC(CCC1=CC(=C(C=C1)O)OC)OC(=O)C)OC(=O)C,0.99372405,0.9723504,0.9794833,0.9818526,3,Active (3/3),1.0,0.8015267,0.45348838,1,1,1,True,False,[4]-Gingerdiacetate,5318274,Zingiber officinale,cocok,"3,5-Octanediol, 1-(4-hydroxy-3-methoxyphenyl)-, 3,5-diacetate"
32,Yunnaneic acid F,Melissa officinalis,10651175,C29H26O14,598.13225554,O=C(C=CC1=CC2C(c3ccc(O)c(O)c3)C(C(=O)O)C1C1(O)OC(=O)CC21O)OC(Cc1ccc(O)c(O)c1)C(=O)O,C1C(=O)O[C@@]2([C@]1([C@@H]3C=C([C@H]2[C@@H]([C@H]3C4=CC(=C(C=C4)O)O)C(=O)O)/C=C/C(=O)O[C@H](CC5=CC(=C(C=C5)O)O)C(=O)O)O)O,0.95972973,0.98983085,0.99588096,0.9818139,3,Active (3/3),0.8181818,0.7791411,0.44444445,1,1,1,True,False,Yunnaneic acid F,10651175,Melissa officinalis,cocok,Yunnaneic acid F
33,Ferulic acid,Andrographis paniculata,445858,C10H10O4,194.05790881,COc1cc(C=CC(=O)O)ccc1O,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,0.9977151,0.96375453,0.980957,0.9808089,3,Active (3/3),0.875,0.75396824,0.3617021,1,1,1,True,False,Ferulic acid,445858,Andrographis paniculata | Zingiber officinale,cocok,Ferulic Acid
34,Palmitoleic acid,Zingiber officinale,445638,C16H30O2,254.2245802,CCCCCCC=CCCCCCCCC(=O)O,CCCCCC/C=C\CCCCCCCC(=O)O,0.99138385,0.9684953,0.97703326,0.9789708,3,Active (3/3),0.75,0.5113636,0.4864865,1,1,1,True,False,Palmitoleic acid,445638,Zingiber officinale,cocok,Palmitoleic Acid
35,Caffeic acid,Andrographis paniculata,689043,C9H8O4,180.04225874,O=C(O)C=Cc1ccc(O)c(O)c1,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,0.9909208,0.96251374,0.98145294,0.9782958,3,Active (3/3),0.8333333,0.8103448,0.3939394,1,1,1,True,False,Caffeic acid,689043,Andrographis paniculata | Melissa officinalis,cocok,Caffeic Acid
36,Quercetin 3-O-alpha-L-rhamnoside,Phyllanthus niruri,5280459,C21H20O11,448.10056148,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,0.9659103,0.9862191,0.9812429,0.9777908,3,Active (3/3),0.8888889,0.9018405,0.8,1,1,1,True,False,Quercetin 3-O-alpha-L-rhamnoside,5280459,Phyllanthus niruri,cocok,Quercitrin
37,Undecanoic acid,Zingiber officinale,8180,C11H22O2,186.16197995,CCCCCCCCCCC(=O)O,CCCCCCCCCCC(=O)O,0.981827,0.97475064,0.975854,0.97747725,3,Active (3/3),0.71428573,0.53846157,0.5070422,1,1,1,True,False,Undecanoic acid,8180,Zingiber officinale,cocok,Undecanoic Acid
38,Dodecanoic acid,Zingiber officinale,3893,C12H24O2,200.17763001,CCCCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,0.981827,0.97475064,0.975854,0.97747725,3,Active (3/3),0.71428573,0.53846157,0.5070422,1,1,1,True,False,Dodecanoic acid,3893,Zingiber officinale,cocok,Lauric Acid
39,Myristic acid,Zingiber officinale,11005,C14H28O2,228.20893014,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,0.981827,0.97475064,0.975854,0.97747725,3,Active (3/3),0.71428573,0.53846157,0.5070422,1,1,1,True,False,Myristic acid,11005,Zingiber officinale,cocok,Myristic Acid
40,Pentadecanoic acid,Zingiber officinale,13849,C15H30O2,242.2245802,CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,0.981827,0.9747507,0.975854,0.97747725,3,Active (3/3),0.71428573,0.53846157,0.5070422,1,1,1,True,False,Pentadecanoic acid,13849,Zingiber officinale,cocok,Pentadecanoic Acid
41,(+)-Ascorbic acid,Zingiber officinale,54670067,C6H8O6,176.03208799,O=C1OC(C(O)CO)C(O)=C1O,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.97418094,0.97388756,0.9838578,0.97730875,3,Active (3/3),0.75,0.51111114,0.44262296,1,1,1,True,False,(+)-Ascorbic acid,54670067,Zingiber officinale,cocok,L-Ascorbic Acid
42,Heptadecanoic acid,Zingiber officinale,10465,C17H34O2,270.25588033,CCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCC(=O)O,0.981827,0.9739124,0.975854,0.9771978,3,Active (3/3),0.71428573,0.53125,0.5070422,1,1,1,True,False,Heptadecanoic acid,10465,Zingiber officinale,cocok,Heptadecanoic Acid
43,Lignoceric acid,Zingiber officinale,11197,C24H48O2,368.36543078,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,0.981827,0.9739124,0.975854,0.9771978,3,Active (3/3),0.71428573,0.53125,0.5070422,1,1,1,True,False,Lignoceric acid,11197,Zingiber officinale,cocok,Tetracosanoic Acid
44,Triacontanoic acid,Zingiber officinale,10471,C30H60O2,452.45933116,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,0.981827,0.9739124,0.975854,0.9771978,3,Active (3/3),0.71428573,0.53125,0.5070422,1,1,1,True,False,Triacontanoic acid,10471,Zingiber officinale,cocok,Triacontanoic acid
45,"5-Hydroxy-7,8-dimethoxyflavanone",Andrographis paniculata,13963770,C17H16O5,300.09977362,COc1cc(O)c2c(c1OC)OC(c1ccccc1)CC2=O,COC1=C(C2=C(C(=O)CC(O2)C3=CC=CC=C3)C(=C1)O)OC,0.99372405,0.9652937,0.9725412,0.97718626,3,Active (3/3),1.0,0.9097222,0.6721311,1,1,1,True,False,"5-Hydroxy-7,8-dimethoxyflavanone",13963770,Andrographis paniculata,cocok,"5-Hydroxy-7,8-Dimethoxyflavanone"
46,Kaempferol 4'-rhamnoside,Phyllanthus niruri,44258925,C21H20O10,432.10564686,CC1OC(Oc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc2)C(O)C(O)C1O,CC1[C@@H](C([C@@H]([C@@H](O1)OC2=CC=C(C=C2)C3=C(C(=O)C4=C(C=C(C=C4O3)O)O)O)O)O)O,0.9659103,0.9833674,0.9820602,0.9771126,3,Active (3/3),0.8888889,0.9044586,0.8372093,1,1,1,True,False,Kaempferol 4'-rhamnoside,44258925,Phyllanthus niruri,cocok,"3,5,7-trihydroxy-2-[4-[(2S,3S,5R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyphenyl]chromen-4-one"
47,"[6]-Gingerdiol 3,5-diacetate",Zingiber officinale,5317587,C21H32O6,380.21988875,CCCCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,CCCCCC(CC(CCC1=CC(=C(C=C1)O)OC)OC(=O)C)OC(=O)C,0.99372405,0.9723504,0.96418244,0.9767523,3,Active (3/3),1.0,0.8015267,0.47126436,1,1,1,True,False,"[6]-Gingerdiol 3,5-diacetate",5317587,Zingiber officinale,cocok,"[6]-Gingerdiol 3,5-diacetate"
48,Quadranoside III,Melissa officinalis,10327092,C36H58O11,666.3979127,CC1(CO)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1,C[C@]1(CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2C1)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)CO,0.9691149,0.9878443,0.97260696,0.976522,3,Active (3/3),1.0,0.8796296,0.712963,1,1,1,True,False,Quadranoside III,10327092,Melissa officinalis,cocok,quadranoside III
49,[8]-Gingerdiol,Zingiber officinale,156373480,C23H36O6,408.25118888,CCCCCCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,CCCCCCCC(CC(CCC1=CC(=C(C=C1)O)OC)OC(=O)C)OC(=O)C,0.99372405,0.9723504,0.9606722,0.9755822,3,Active (3/3),1.0,0.8015267,0.45555556,1,1,1,True,False,[8]-Gingerdiol,156373480,Zingiber officinale,cocok,(8)-Gingerdiol
50,Acetylursolic acid,Forsythia suspensa,6475119,C32H50O4,498.37091008,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C(=O)O)CCC23C)C1(C)C,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)OC(=O)C)C)C)[C@@H]2[C@H]1C)C)C(=O)O,0.9691149,0.9629541,0.9945373,0.9755354,3,Active (3/3),1.0,0.7383177,0.6060606,1,1,1,True,False,Acetylursolic acid,6475119,Forsythia suspensa,cocok,O-Acetylursolic Acid
